Pain,Brioche,Baguette,Biscotte
Pomme,Poire,Peche,Abricot
Poulet,Dinde,Canard,Pintade
Farine,Sucre,Sel,Levure
Couteau,Fourchette,Cuillere,Spatule
Beurre,Huile,Margarine,Creme
Gateau,Tarte,Biscuit,Entremets
Cafe,The,Chocolat,Tisane
Soupe,Bouillon,Veloute,Potage
Tomate,Poivron,Aubergine,Courgette
Lait,Yaourt,Fromage,Faisselle
Poivre,Piment,Canelle,Safran
Assiette,Bol,Tasse,Verre
Casserole,Poele,Marmite,Faitout
Four,Microondes,Plaque,Grille
Pizza,Quiche,Flammekueche,Tourte
Jambon,Salami,Chorizo,Pate
Crevette,Crabe,Langouste,Homard
Riz,Pates,Semoule,Ble
Lentille,Haricot,Pois,Fave
Fraise,Framboise,Mure,Myrtille
Citron,Orange,Pamplemousse,Mandarine
Poisson,Viande,Oeuf,Tofu
Miel,Confiture,Sirop,Caramel
Menthe,Basilic,Persil,Aneth
Oignon,Ail,Echalote,Ciboulette
Glace,Sorbet,Granite,Glaçon
Vin,Biere,Cidre,Jus
Poireau,Asperge,Celeri,Fenouil
Noix,Amande,Noisette,Pistache
Mousse,Creme,Flan,Gelée
Vinaigre,Moutarde,Ketchup,Mayo
Carafe,Bouteille,Pichet,Gourde
Tablier,Toque,Gant,Torchon
Planche,Econome,Rape,Presse
Crepe,Gaufre,Beignet,Churro
Saumon,Truite,Thon,Sardine
Steak,Roti,Cotelette,Gigot
Melon,Pasteque,Citrouille,Potiron
Prune,Mirabelle,Quetsche,Cerise
Radis,Navet,Betterave,Carotte
Salade,Chou,Epinard,Laitue
Praline,Nougat,Calisson,Guimauve
Soda,Cola,Limonade,Diabolo
Frite,Chips,Purée,Beignet
Saucisse,Merguez,Francfort,Knack
Muffin,Cookie,Brownie,Donut
Plat,Entree,Dessert,Goûter
Sucre,Miel,Aspartame,Stevia
Passoire,Chinois,Tamis,Entonnoir
Balance,Verre,Thermomètre,Minuteur
Evier,Robinet,Siphon,Bac
Frigo,Congelateur,Cave,Cellier
Mousse,Ecume,Bulle,Mousse
Banane,Ananas,Mangue,Avocat
Noix,Coco,Marron,Chataigne
Truffle,Champignon,Girolle,Cèpe
Spaghetti,Nouilles,Coquillettes,Pennes
Lasagne,Ravioli,Cannelloni,Gnocchi
Sushis,Makis,Sashimis,California
Kebab,Tacos,Burger,Bagel
Couscous,Paella,Cassoulet,Choucroute
Vapeur,Friture,Grillade,Roti
Poivre,Sel,Curry,Paprika
Graine,Pignon,Tournesol,Courge
Bocal,Boite,Sachet,Tupperware
Louche,Ecumoire,Fouet,Spatule
Eponge,Gratoire,Brosse,LaveVaisselle
Nappe,Serviette,Set,Chemin
Plateau,Desserte,Guéridon,Table
PetitDejeuner,Dejeuner,Diner,Souper
Brioche,Croissant,Chausson,PainAuChocolat
Cacahuete,Pistache,Cajou,Macadamia
Eclair,Religieuse,Millefeuille,Opera
Fondue,Raclette,Tartiflette,Gratin
Jus,Nectar,Smoothie,Milkshake
Anis,Reglisse,Menthe,Eucalyptus
Cacao,Cafeine,Theine,Sucre
Meringue,Macaron,Tuile,LangueDeChat
Moule,Huitre,Coque,Palourde
Sardine,Maquereau,Anchois,Hareng
Veau,Agneau,Boeuf,Porc
Gingembre,Curcuma,Wasabi,Radis
Raisin,Datte,Figue,Abricot
Chataigne,Gland,Noisette,Marron
Pain,Galette,Naan,Pita
Salade,Endive,Frisée,Roquette
Brocoli,Chouxfleur,Romanesco,Navet
Pesto,Aioli,Tapenade,Humous
Compote,Coulis,Confiture,Gelee
Alcool,Spiritueux,Liqueur,Digestif
Cocktail,Punch,Sangria,Margarita
Glace,Esquimau,Cone,Bac
Boule,Tranche,Morceau,Copeau
Zeste,Peau,Ecorce,Noyau
Farce,Garniture,Sauce,Accompagnement
Chef,Commis,Plongeur,Serveur
Menu,Carte,Ardoise,Addition
Table,Comptoir,Bar,Terrasse
Buffet,Banquet,Cocktail,Reception