Mobile,Tablette,Ordinateur,Console
Souris,Clavier,Ecran,Manette
Internet,Reseau,Signal,Onde
Photo,Video,Image,Film
Message,Appel,Courriel,Lettre
Pile,Batterie,Chargeur,Cordon
Musique,Radio,Podcast,Disque
Lampe,Ampoule,Neon,Torche
Bouton,Touche,Interrupteur,Curseur
Robot,Machine,Moteur,Automate
Code,Logiciel,Appli,Systeme
Donneé,Fichier,Dossier,Texte
Mot,Passe,Code,Cle
Web,Site,Page,Lien
Mail,Chat,Forum,Blog
Micro,Casque,HautParleur,Enceinte
Camera,Objectif,Capteur,Flash
Imprimante,Scanner,Copieur,Traceur
Cle,Disque,Memoire,Carte
Puce,Circuit,Carte,Composant
Drone,Avion,Robot,Sonde
Satellite,Antenne,Parabole,Relais
Wifi,Bluetooth,Cable,Fibre
Ecran,Dalle,Vitre,Moniteur
Pixel,Point,Ligne,Image
Son,Bruit,Volume,Silence
Video,Cinema,Ecran,Toile
Jeu,Gaming,Partie,Score
Joueur,Avatar,Profil,Compte
Reseau,Social,Profil,Mur
Ami,Contact,Abonne,Suiveur
Like,Partage,Commentaire,Vues
Post,Statut,Story,Flux
Tag,Lien,Mention,Hashtag
Bug,Erreur,Faille,Virus
Hack,Piratage,Attaque,Vol
Securite,Protection,Alarme,Verrou
Cloud,Serveur,Stockage,Espace
Vitesse,Debit,Flux,Bande
Mise,Jour,Version,Patch
Telechargement,Envoi,Flux,Streaming
Ligne,Direct,Replay,VOD
Serie,Film,Episode,Saison
Pub,Reclame,Annonce,Affiche
Vente,Achat,Panier,Commande
Banque,Argent,Paiement,Carte
Crypto,Jetton,Bourse,Valeur
Calcul,Chiffre,Nombre,Donneé
Algorithme,Logique,Calcul,Suite
Intelligence,Artificielle,Robot,Machine
Virtuel,Reel,Augmente,Casque
Capteur,Mesure,Sonde,Detecteur
Lumiere,Rayon,Laser,Faisceau
Energie,Electricite,Courant,Tension
Solaire,Eolien,Nucleaire,Gaz
Moteur,Turbine,Piston,Vapeur
Volant,Levier,Pedale,Frein
Velo,Moto,Auto,Train
Avion,Fusée,Navette,Capsule
Espace,Lune,Mars,Planete
Telescope,Jumelles,Loupe,Microscope
Laboratoire,Science,Test,Essai
Examen,Analyse,Preuve,Resultat
Sante,Medecine,Scanner,Radio
Outil,Instrument,Appareil,Objet
Montre,Connectee,Bracelet,Capteur
Domotique,Maison,Alarme,Volet
Four,Frigo,LaveVaisselle,Plaque
Aspi,Robot,Balai,Nettoyeur
Vapeur,Chaleur,Froid,Clim
Ventilateur,Extracteur,Filtre,Air
Eau,Gaz,Foudre,Feu
Signal,Bip,Sonnerie,Vibreur
Ecriture,Lecture,Saisie,Frappe
Copie,Colle,Coupe,Efface
Gomme,Crayon,Pinceau,Pot
Calque,Couche,Masque,Filtre
Format,Taille,Poids,Type
Nom,Extension,Titre,Date
Droit,Licence,Auteur,Source
Libre,Gratuit,Payant,Cher
Vrai,Faux,Reel,Fictif
Texte,Police,Taille,Gras
Italique,Souligne,Barre,Indice
Titre,Paragraphe,Ligne,Marge
Cadre,Bordure,Fond,Ombre
Couleur,Teinte,Degrade,Trame
Point,Trait,Cercle,Carre
Angle,Face,Volume,Forme
Simple,Double,Triple,Unique
Debut,Fin,Pause,Arret
Start,Stop,Play,Record
Menu,Option,Reglage,Choix
Langue,Pays,Heure,Date
Aide,Support,Tuto,Notice
Livre,Liseuse,Papier,Ecran
Journal,Mag,Presse,News
Info,Rumeur,Secret,Alerte
Direct,Vivant,Public,Scene
Media,Presse,Web,Tele